School Code,School Name,School Type,Address 1,Town,State,TOTAL_Enrollment,Average Salary,Zipcode
4280305,Brooke Charter School,Charter School,190 Cummins Highway,Roslindale,MA,1608,,2131
4320530,Cape Cod Lighthouse Charter School,Charter School,195 Route 137,East Harwich,MA,243,,2645
8150605,Cape Cod Region Vocational Technical,Public School,351 Pleasant Lake Avenue,Harwich,MA,623,68981,2645
6350005,Becket Washington School,Public School,12 Maple Street,Becket,MA,125,69081,1223
6350025,Craneville,Public School,71 Park Avenue,Dalton,MA,422,69081,1226
6350035,Kittredge,Public School,80 Maple Street,Hinsdale,MA,134,69081,1235
6350305,Nessacus Regional Middle School,Public School,35 Fox Road,Dalton,MA,396,69081,1226
6350505,Wahconah Regional High,Public School,150 Windsor Rd,Dalton,MA,543,69081,1226
6320025,New Hingham Regional Elementary,Public School,30 Smith Rd,Chesterfield,MA,140,61142,1012
4180305,Christa McAuliffe Charter Public School,Charter School,139 Newbury St,Framingham,MA,395,,1701
4370505,City on a Hill Charter Public School Circuit Street,Charter School,58 Circuit Street,Roxbury,MA,279,,2119
4380505,Codman Academy Charter Public School,Charter School,637 Washington Street,Dorchester,MA,359,,2124
4360305,Community Charter School of Cambridge,Charter School,245 Bent Street,Cambridge,MA,374,,2141
4260205,Community Day Charter Public School - Gateway,Charter School,50 Pleasant Street,Lawrence,MA,280,,1841
4400205,Community Day Charter Public School - Prospect,Charter School,190 Hampshire Street,Lawrence,MA,400,,1840
4310205,Community Day Charter Public School - R. Kingman Webster,Charter School,50 Pleasant Street,Lawrence,MA,280,,1841
6400505,Concord Carlisle High,Public School,500 Walden Street,Concord,MA,1276,100731,1742
4390050,Conservatory Lab Charter School,Charter School,2120 Dorchester Avenue,Dorchester,MA,450,,2124
6450505,Dennis-Yarmouth Regional High,Public School,210 Station Avenue,South Yarmouth,MA,1003,67658,2664
6450005,Ezra H Baker Innovation School,Public School,810 Route 28,West Dennis,MA,353,67658,2670
6450015,Marguerite E Small Elementary,Public School,440 Higgins Crowell Rd,West Yarmouth,MA,306,67658,2673
6450305,Mattacheese Middle School,Public School,400 Higgins Crowell Rd,West Yarmouth,MA,423,67658,2673
6450050,N H Wixon Innovation School,Public School,901 Route 134/Drwr R,South Dennis,MA,514,67658,2660
6450025,Station Avenue Elementary,Public School,276 Station Avenue,South Yarmouth,MA,425,67658,2664
6500005,Dighton Elementary,Public School,1250 Somerset Avenue,Dighton,MA,420,67485,2715
6500305,Dighton Middle School,Public School,1250R Somerset Avenue,Dighton,MA,396,67485,2715
6500505,Dighton-Rehoboth Regional High School,Public School,2700 Regional Rd,North Dighton,MA,928,67485,2764
6500310,Dorothy L Beckwith,Public School,330R Winthrop Street,Rehoboth,MA,575,67485,2769
6500010,Palmer River,Public School,326 Winthrop Street,Rehoboth,MA,564,67485,2769
6550505,Dover-Sherborn Regional High,Public School,9 Junction Street,Dover,MA,652,94698,2030
6550405,Dover-Sherborn Regional Middle School,Public School,155 Farm Street,Dover,MA,523,94698,2030
4070405,Dudley Street Neighborhood Charter School,Charter School,6 Shirley Street,Boston,MA,292,,2119
6580020,Charlton Elementary,Public School,9 Burlingame Road,Charlton,MA,348,66931,1507
6580310,Charlton Middle School,Public School,2 Oxford Road,Charlton,MA,704,66931,1507
6580005,Dudley Elementary,Public School,16 School Street,Dudley,MA,373,66931,1571
6580305,Dudley Middle School,Public School,70 Dudley-Oxford Road,Dudley,MA,617,66931,1571
6580030,Heritage School,Public School,34 Oxford Rd,Charlton,MA,496,66931,1507
6580010,Mason Road School,Public School,20 Mason Road,Dudley,MA,259,66931,1571
6580505,Shepherd Hill Regional High,Public School,68 Dudley Oxford Road,Dudley,MA,1166,66931,1571
4520505,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Charter School,360 Huntington Avenue,Boston,MA,359,,2115
8170505,Essex Technical High School,Public School,P.O. Box 346,Hathorne,MA,1307,68534,1937
4100205,Excel Academy Charter School,Charter School,58 Moore Street,East Boston,MA,957,,2128
6620020,Farmington River Elementary,Public School,555 N Main Street,Otis,MA,114,51018,1253
4130505,Four Rivers Charter Public School,Charter School,248 Colrain Road,Greenfield,MA,220,,1301
4460550,Foxborough Regional Charter School,Charter School,131 Central Street,Foxborough,MA,1261,,2035
1000035,Barbieri Elementary,Public School,100 Dudley Rd,Framingham,MA,692,76040,1701
1000006,Brophy,Public School,575 Pleasant Street,Framingham,MA,515,76040,1701
1000302,Cameron Middle School,Public School,215 Elm Street,Framingham,MA,546,76040,1701
1000007,Charlotte A Dunning,Public School,48 Frost Street,Framingham,MA,479,76040,1701
1000515,Framingham High School,Public School,115 A Street,Framingham,MA,2102,76040,1701
1000305,Fuller Middle,Public School,31 Flagg Drive,Framingham,MA,465,76040,1701
1000015,Hemenway,Public School,729 Water Street,Framingham,MA,573,76040,1701
1000001,Juniper Hill School,Public School,29 Upper Joclyn Avenue,Framingham,MA,234,76040,1701
1000005,King Elementary School,Public School,454 Water Street,Framingham,MA,250,76040,1701
1000045,Mary E Stapleton Elementary,Public School,25 Elm Street,Framingham,MA,393,76040,1701
1000050,Miriam F McCarthy School,Public School,8 Flagg Drive,Framingham,MA,557,76040,1701
1000039,Potter Road,Public School,492 Potter Rd,Framingham,MA,503,76040,1701
1000310,Walsh Middle,Public School,301 Brook Street,Framingham,MA,724,76040,1701
1000055,Woodrow Wilson,Public School,169 Leland Street,Framingham,MA,576,76040,1702
4780505,Francis W. Parker Charter Essential School,Charter School,49 Antietam St,Devens,MA,395,,1434
1010040,Annie Sullivan Middle School,Public School,500 Lincoln Street,Franklin,MA,464,73230,2038
1010035,Davis Thayer,Public School,137 West Central Street,Franklin,MA,272,73230,2038
1010003,Franklin Early Childhood Development Center,Public School,224 Oak Street,Franklin,MA,131,73230,2038
1010505,Franklin High,Public School,218 Oak Street,Franklin,MA,1739,73230,2038
1010012,Helen Keller Elementary,Public School,500 Lincoln Street,Franklin,MA,413,73230,2038
1010405,Horace Mann,Public School,224 Oak Street,Franklin,MA,466,73230,2038
1010013,J F Kennedy Memorial,Public School,551 Pond Street,Franklin,MA,360,73230,2038
1010010,Jefferson Elementary,Public School,628 Washington Street,Franklin,MA,329,73230,2038
1010030,Oak Street Elementary,Public School,224 Oak Street,Franklin,MA,413,73230,2038
1010032,Parmenter,Public School,235 Wachusett Street,Franklin,MA,365,73230,2038
1010310,Remington Middle,Public School,628 Washington Street,Franklin,MA,460,73230,2038
8180605,Franklin County Technical,Public School,82 Industrial Blvd,Turners Falls,MA,488,67754,1376
6650505,Apponequet Regional High,Public School,100 Howland Rd,Lakeville,MA,725,74984,2347
6650002,Assawompset Elementary School,Public School,232 Main Street,Lakeville,MA,417,74984,2347
6650001,Freetown Elementary School,Public School,43 Bullock Road,East Freetown,MA,400,74984,2717
6650305,Freetown-Lakeville Middle School,Public School,96 Howland Road,Lakeville,MA,739,74984,2347
6650015,George R Austin Intermediate School,Public School,112 Howland Road,Lakeville,MA,473,74984,2347
6700505,Frontier Regional,Public School,113 North Main Street,South Deerfield,MA,611,65008,1373
1030001,Elm Street School,Public School,160 Elm Street,Gardner,MA,579,61036,1440
1030515,Gardner Academy for Learning and Technology,Public School,75 E Broadway Street,Gardner,MA,93,61036,1440
1030505,Gardner High,Public School,200 Catherine Street,Gardner,MA,711,61036,1440
1030405,Gardner Middle School,Public School,297 Catherine Street,Gardner,MA,547,61036,1440
1030020,Waterford Street,Public School,62 Waterford Street,Gardner,MA,455,61036,1440
6720059,Chester Elementary,Public School,325 Middlefield Road,Chester,MA,116,57985,1011
6720505,Gateway Regional High,Public School,12 Littleville Road,Huntington,MA,220,57985,1050
6720405,Gateway Regional Middle School,Public School,12 Littleville Road,Huntington,MA,208,57985,1050
6720143,Littleville Elementary School,Public School,4 Littleville Road,Huntington,MA,297,57985,1050
1050505,Georgetown High School,Public School,11 Winter Street,Georgetown,MA,411,66512,1833
1050305,Georgetown Middle School,Public School,11 Winter Street,Georgetown,MA,231,66512,1833
1050010,Penn Brook,Public School,68 Elm Street,Georgetown,MA,697,66512,1833
1050005,Perley Elementary,Public School,51 North Street,Georgetown,MA,108,66512,1833
6740005,Gill Elementary,Public School,48 Boyle Rd,Gill,MA,117,58115,1354
6740310,Great Falls Middle,Public School,224 Turnpike Rd,Montague,MA,238,58115,1351
6740015,Hillcrest Elementary School,Public School,30 Griswold Street,Turners Falls,MA,148,58115,1376
6740050,Sheffield Elementary School,Public School,43 Crocker Avenue,Turners Falls,MA,217,58115,1376
6740505,Turners Fall High,Public School,222 Turnpike Rd,Montague,MA,231,58115,1351
4960305,Global Learning Charter Public School,Charter School,190 Ashley Boulevard,New Bedford,MA,507,,2746
1070010,Beeman Memorial,Public School,138 Cherry Street,Gloucester,MA,355,72400,1930
1070020,East Gloucester Elementary,Public School,8 Davis St Ext,Gloucester,MA,235,72400,1930
1070505,Gloucester High,Public School,32 Leslie O. Johnson Rd,Gloucester,MA,818,72400,1930
1070025,Gloucester PreSchool,Public School,2 Blackburn Drive,Gloucester,MA,96,72400,1930
1070042,Plum Cove School,Public School,15 Hickory Street,Gloucester,MA,213,72400,1930
1070305,Ralph B O'Maley Middle,Public School,32 Cherry Street,Gloucester,MA,637,72400,1930
1070045,Veterans Memorial,Public School,11 Webster Street,Gloucester,MA,220,72400,1930
1070050,West Parish,Public School,10 Concord Street,Gloucester,MA,356,72400,1930
1090005,Cuttyhunk Elementary,Public School,PO Box 27 Tower Hill Road,Cuttyhunk,MA,2,34588,2713
1100505,Grafton High School,Public School,24 Providence Road,Grafton,MA,835,67559,1519
1100305,Grafton Middle,Public School,22 Providence Road,Grafton,MA,485,67559,1519
1100200,Millbury Street Elementary School,Public School,105 Millbury Street,Grafton,MA,679,67559,1519
1100025,North Grafton Elementary,Public School,46 Waterville Street,North Grafton,MA,285,67559,1536
1100030,North Street Elementary School,Public School,60 North Street,Grafton,MA,597,67559,1519
1100005,South Grafton Elementary,Public School,90 Main Street,South Grafton,MA,308,67559,1560
1110004,East Meadow,Public School,393 East State Street,Granby,MA,169,57229,1033
1110505,Granby Jr Sr High School,Public School,385 East State Street,Granby,MA,381,57229,1033
1110010,West Street,Public School,14 West Street,Granby,MA,206,57229,1033
8210605,Diman Regional Vocational Technical High,Public School,251 Stonehaven Rd,Fall River,MA,1395,80411,2723
8230605,Gr Lawrence Regional Vocational Technical,Public School,57 River Rd,Andover,MA,1473,77944,1810
8280605,Gr Lowell Regional Vocational Technical,Public School,250 Pawtucket Blvd,Tyngsborough,MA,2184,79965,1879
8250605,Gr New Bedford Vocational Technical,Public School,1121 Ashley Blvd,New Bedford,MA,2154,79750,2745
1140025,Discovery School at Four Corners,Public School,21 Ferrante Avenue,Greenfield,MA,243,60968,1301
1140010,Federal Street School,Public School,125 Federal Street,Greenfield,MA,234,60968,1301
1140030,Green River,Public School,62 Meridian Street,Greenfield,MA,6,60968,1301
1140505,Greenfield High,Public School,21 Barr Avenue,Greenfield,MA,448,60968,1301
1140305,Greenfield Middle,Public School,195 Federal Street,Greenfield,MA,394,60968,1301
1140035,Newton School,Public School,70 Shelburne Rd,Greenfield,MA,215,60968,1301
1140005,The Academy of Early Learning at North Parish,Public School,1 Place Terrace,Greenfield,MA,122,60968,1301
6730001,Boutwell School,Public School,P O Box 730,Groton,MA,64,78291,1450
6730010,Florence Roche School,Public School,P O Box 738,Groton,MA,478,78291,1450
6730505,Groton Dunstable Regional,Public School,P O Box 730,Groton,MA,812,78291,1450
6730305,Groton Dunstable Regional Middle,Public School,P O Box 727,Groton,MA,791,78291,1450
6730005,Swallow/Union School,Public School,522 Main Street,Dunstable,MA,280,78291,1827
1170015,Hadley Elementary,Public School,21 River Drive,Hadley,MA,304,60970,1035
1170505,Hopkins Academy,Public School,131 Russell Street,Hadley,MA,258,60970,1035
1180005,Halifax Elementary,Public School,464 Plymouth Street,Halifax,MA,592,78775,2338
6750007,Bessie Buker Elementary,Public School,1 School Street,Wenham,MA,255,73336,1984
6750010,Cutler School,Public School,237 Asbury Street,South Hamilton,MA,254,73336,1982
6750505,Hamilton-Wenham Regional High,Public School,775 Bay Rd,South Hamilton,MA,574,73336,1982
6750310,Miles River Middle,Public School,787 Bay Rd,Hamilton,MA,407,73336,1982
6750015,Winthrop School,Public School,325 Bay Rd,South Hamilton,MA,292,73336,1982
4990305,Hampden Charter School of Science,Charter School,20 Johnson Rd,Chicopee,MA,478,,1022
6800005,Green Meadows Elementary,Public School,38 North Rd,Hampden,MA,247,71211,1036
6800025,Mile Tree Elementary,Public School,625 Main Street,Wilbraham,MA,315,71211,1095
6800505,Minnechaug Regional High,Public School,621 Main Street,Wilbraham,MA,1147,71211,1095
6800030,Soule Road,Public School,300 Soule Rd,Wilbraham,MA,339,71211,1095
6800050,Stony Hill School,Public School,675 Stony Hill Road,Wilbraham,MA,303,71211,1095
6800305,Thornton Burgess,Public School,85 Wilbraham Rd,Hampden,MA,222,71211,1036
6800310,Wilbraham Middle,Public School,466 Stony Hill Rd,Wilbraham,MA,534,71211,1095
6830505,Hampshire Regional High,Public School,19 Stage Rd,Westhampton,MA,741,71416,1027
1210005,Hancock Elementary,Public School,3080 Hancock Road,Hancock,MA,36,48959,1237
1220004,Cedar Elementary,Public School,265 Cedar Street,Hanover,MA,424,76609,2339
1220005,Center Elementary,Public School,65 Silver Street,Hanover,MA,349,76609,2339
1220505,Hanover High,Public School,287 Cedar Street,Hanover,MA,790,76609,2339
1220305,Hanover Middle,Public School,45 Whiting Street,Hanover,MA,834,76609,2339
1220015,Sylvester,Public School,495 Hanover Street,Hanover,MA,228,76609,2339
1250505,Bromfield,Public School,14 Massachusetts Avenue,Harvard,MA,684,83504,1451
1250005,Hildreth Elementary School,Public School,27 Massachusetts Avenue,Harvard,MA,433,83504,1451
1270005,Hatfield Elementary,Public School,33 Main Street,Hatfield,MA,244,58030,1038
1270505,Smith Academy,Public School,34 School Street,Hatfield,MA,198,58030,1038
1280005,Bartlett Kindergarten Center,Public School,551 Washington St.,Haverhill,MA,151,67376,1832
1280008,Bradford Elementary,Public School,118 Montvale Street,Bradford,MA,616,67376,1835
1280035,Caleb Dustin Hunking,Public School,480 So. Main St,Haverhill,MA,416,67376,1835
1280100,Consentino Middle School,Public School,685 Washington Street,Haverhill,MA,1017,67376,1832
1280020,Crowell,Public School,26 Belmont Avenue,Haverhill,MA,150,67376,1830
1280050,Dr Paul Nettle,Public School,150 Boardman Street,Haverhill,MA,497,67376,1830
1280026,Golden Hill,Public School,140 Boardman Street,Haverhill,MA,519,67376,1830
1280027,Greenleaf,Public School,58 Chadwick Street,Haverhill,MA,248,67376,1835
1280033,Haverhill Alternative School,Public School,415 Primrose Street,Haverhill,MA,46,67376,1830
1280505,Haverhill High,Public School,137 Monument Street,Haverhill,MA,1828,67376,1832
1280085,John G Whittier,Public School,256 Concord Street,Haverhill,MA,509,67376,1830
1280045,Moody,Public School,59 Margin Street,Haverhill,MA,203,67376,1832
1280054,Pentucket Lake Elementary,Public School,252 Concord Street,Haverhill,MA,510,67376,1830
1280073,TEACH,Public School,415 Primrose Street,Haverhill,MA,51,67376,1830
1280075,Tilton,Public School,70 Grove Street,Haverhill,MA,540,67376,1832
1280080,Walnut Square,Public School,645 Main Street,Haverhill,MA,151,67376,1830
6850005,Hawlemont Regional,Public School,10 School Street,Charlemont,MA,105,55327,1339
4190305,Helen Y. Davis Leadership Academy Charter Public School,Charter School,23 Leonard Street,Boston,MA,217,,2122
4550050,Hill View Montessori Charter Public School,Charter School,75 Foundation Avenue,Haverhill,MA,306,,1835
4500105,Hilltown Cooperative Charter Public School,Charter School,1 Industrial Parkway,Easthampton,MA,218,,1027
1310005,East Elementary School,Public School,2 Collins Street,Hingham,MA,543,77082,2043
1310505,Hingham High,Public School,17 Union Street,Hingham,MA,1225,77082,2043
1310410,Hingham Middle School,Public School,1103 Main Street,Hingham,MA,1097,77082,2043
1310019,Plymouth River,Public School,200 High Street,Hingham,MA,470,77082,2043
1310020,South Elementary,Public School,831 Main Street,Hingham,MA,512,77082,2043
1310010,Wm L Foster Elementary,Public School,55 Downer Avenue,Hingham,MA,470,77082,2043
1330505,Holbrook Jr Sr High,Public School,245 So. Franklin Street,Holbrook,MA,465,62041,2343
1330018,John F Kennedy,Public School,339 Plymouth Street,Holbrook,MA,427,62041,2343
1330025,South,Public School,719 So. Franklin Street,Holbrook,MA,278,62041,2343
1350005,Holland Elementary,Public School,28 Sturbridge Road,Holland,MA,237,61098,1521
1360505,Holliston High,Public School,370 Hollis Street,Holliston,MA,809,78598,1746
1360007,Miller School,Public School,235 Woodland Street,Holliston,MA,682,78598,1746
1360010,Placentino Elementary,Public School,235 Woodland Street,Holliston,MA,735,78598,1746
1360305,Robert H. Adams Middle School,Public School,323 Woodland Street,Holliston,MA,663,78598,1746
1370045,E N White Elementary,Public School,1 Jefferson Street,Holyoke,MA,501,67517,1040
1370070,H.B. Lawrence School,Public School,156 Cabot Street,Holyoke,MA,289,67517,1040
1370505,Holyoke High,Public School,500 Beech Street,Holyoke,MA,1285,67517,1040
1370003,Joseph Metcalf School,Public School,2019 Northampton Street,Holyoke,MA,262,67517,1040
1370040,Kelly Elementary,Public School,216 West Street,Holyoke,MA,544,67517,1040
1370055,Lt Clayre Sullivan Elementary,Public School,400 Jarvis Avenue,Holyoke,MA,559,67517,1040
1370015,Lt Elmer J McMahon Elementary,Public School,75 Kane Rd,Holyoke,MA,414,67517,1040
1370060,Maurice A Donahue Elementary,Public School,210 Whiting Farms Rd,Holyoke,MA,459,67517,1040
1370025,Morgan Full Service Community School,Public School,596 South Bridge Street,Holyoke,MA,413,67517,1040
1370030,William R. Peck School,Public School,1916 Northampton Street,Holyoke,MA,366,67517,1040
1370605,Wm J Dean Vocational Technical High,Public School,1045 Main Street,Holyoke,MA,252,67517,1040
4530005,Holyoke Community Charter School,Charter School,2200 Northampton St,Holyoke,MA,702,,1040
1380505,Hopedale Jr Sr High,Public School,25 Adin Street,Hopedale,MA,524,65526,1747
1380010,Memorial,Public School,6 Prospect Street,Hopedale,MA,549,65526,1747
1380003,Park Street School,Public School,6 Park Street,Hopedale,MA,64,65526,1747
1390005,Center,Public School,11 Ash Street,Hopkinton,MA,450,82436,1748
1390010,Elmwood,Public School,14 Elm Street,Hopkinton,MA,488,82436,1748
1390015,Hopkins Elementary School,Public School,104 Hayden Rowe Street,Hopkinton,MA,497,82436,1748
1390505,Hopkinton High,Public School,90 Hayden Rowe Street,Hopkinton,MA,1092,82436,1748
1390305,Hopkinton Middle School,Public School,88 Hayden Rowe Street,Hopkinton,MA,870,82436,1748
1390003,Hopkinton Pre-School,Public School,88 Hayden Rowe Street,Hopkinton,MA,65,82436,1748
1410030,C A Farley,Public School,119 Cottage Street,Hudson,MA,487,73889,1749
1410410,David J. Quinn Middle School,Public School,201 Manning Street,Hudson,MA,638,73889,1749
1410015,Forest Avenue Elementary,Public School,136 Forest Avenue,Hudson,MA,325,73889,1749
1410505,Hudson High,Public School,69 Brigham Street,Hudson,MA,943,73889,1749
1410007,Mulready Elementary,Public School,306 Cox Street,Hudson,MA,250,73889,1749
1420505,Hull High,Public School,180 Main Street,Hull,MA,311,80206,2045
1420015,Lillian M Jacobs,Public School,180 Harborview Rd,Hull,MA,415,80206,2045
1420305,Memorial Middle,Public School,81 Central Avenue,Hull,MA,204,80206,2045
4350305,Innovation Academy Charter School,Charter School,72 Tyng Road,Tyngsboro,MA,792,,1879
3700012,Central Area,Public School,PO Box 1320,Westborough,MA,0,,1581
3700040,East Area,Public School,PO Box 1320,Westborough,MA,0,,1581
3700026,Pappas Rehabilitation Hospital for Children,Public School,3 Randolph Street,Canton,MA,0,,2021
3700015,Southeast Area,Public School,PO Box 1320,Westborough,MA,0,,1581
3700013,West Area,Public School,PO Box 1320,Westborough,MA,0,,1581
1440505,Ipswich High,Public School,134 High Street,Ipswich,MA,543,68727,1938
1440305,Ipswich Middle School,Public School,130 High Street,Ipswich,MA,458,68727,1938
1440007,Paul F Doyon Memorial,Public School,216 Linebrook Rd,Ipswich,MA,394,68727,1938
1440015,Winthrop,Public School,65 Central Street,Ipswich,MA,383,68727,1938
4630205,KIPP Academy Boston Charter School,Charter School,37 Babson Street,Mattapan,MA,505,,2126
4290010,KIPP Academy Lynn Charter School,Charter School,90 High Rock Street,Lynn,MA,1196,,1902
6900510,King Philip Middle School,Public School,18 King Street,Norfolk,MA,776,69091,2056
6900505,King Philip Regional High,Public School,201 Franklin Street,Wrentham,MA,1320,69091,2093
1450005,Kingston Elementary,Public School,150 Main Street,Kingston,MA,436,66560,2364
1450020,Kingston Intermediate,Public School,65 Second Brook Street,Kingston,MA,580,66560,2364
1480005,Lanesborough Elementary,Public School,188 Summer Street,Lanesborough,MA,206,58259,1237
1490015,Alexander B Bruce,Public School,135 Butler Street,Lawrence,MA,514,70872,1841
1490017,Arlington Middle School,Public School,150 Arlington Street,Lawrence,MA,571,70872,1841
1490009,Community Day Arlington,Public School,150 Arlington Street,Lawrence,MA,587,70872,1841
1490053,Edward F. Parthum,Public School,255 E Haverhill Street,Lawrence,MA,639,70872,1841
1490080,Emily G Wetherbee,Public School,75 Newton Street,Lawrence,MA,751,70872,1843
1490040,Francis M Leahy,Public School,100 Erving Avenue,Lawrence,MA,484,70872,1841
1490525,Frost Middle School,Public School,33 Hamlet Street,Lawrence,MA,476,70872,1843
1490022,Gerard A. Guilmette,Public School,80 Bodwell Street,Lawrence,MA,520,70872,1841
1490025,Guilmette Middle School,Public School,80 Bodwell St,Lawrence,MA,498,70872,1841
1490536,High School Learning Center,Public School,233 Haverhill Street,Lawrence,MA,176,70872,1840
1490020,James F Hennessey,Public School,122 Hancock Street,Lawrence,MA,384,70872,1841
1490003,John Breen School,Public School,114 Osgood Street,Lawrence,MA,327,70872,1843
1490075,John K Tarbox,Public School,59 Alder Street,Lawrence,MA,363,70872,1841
1490002,Lawlor Early Childhood Center,Public School,41 Lexington Street,Lawrence,MA,139,70872,1841
1490011,Lawrence Family Public Academy,Public School,526 Lowell Street,Lawrence,MA,172,70872,1841
1490515,Lawrence High School,Public School,70-71 North Parish Road,Lawrence,MA,3295,70872,1843
1490048,Oliver Partnership School,Public School,183 Haverhill Street,Lawrence,MA,500,70872,1840
1490027,Parthum Middle School,Public School,255 East Haverhill Street,Lawrence,MA,527,70872,1841
1490540,Phoenix Academy Lawrence,Public School,15 Union Street,Lawrence,MA,151,70872,1841
1490018,Robert Frost,Public School,33 Hamlet Street,Lawrence,MA,599,70872,1843
1490001,Rollins Early Childhood Center,Public School,451 Howard Street,Lawrence,MA,172,70872,1841
1490537,School for Exceptional Studies,Public School,58 Lawrence Street,Lawrence,MA,176,70872,1841
1490004,South Lawrence East Elementary School,Public School,165 Crawford Street,Lawrence,MA,711,70872,1843
1490085,Spark Academy,Public School,165 Crawford Street,Lawrence,MA,458,70872,1843
1490090,UP Academy Leonard Middle School,Public School,60 Allen Street,Lawrence,MA,322,70872,1841
1490049,UP Academy Oliver Middle School,Public School,233 Haverhill Street,Lawrence,MA,345,70872,1840
4540205,Lawrence Family Development Charter School,Charter School,34 West Street,Lawrence,MA,717,,1841
1500025,Lee Elementary,Public School,310 Greylock Street,Lee,MA,336,64212,1238
1500505,Lee Middle/High School,Public School,300 Greylock Street,Lee,MA,349,64212,1238
1510505,Leicester High,Public School,174 Paxton Street,Leicester,MA,455,72758,1524
1510005,Leicester Memorial Elementary,Public School,11 Memorial School Dr,Leicester,MA,359,72758,1524
1510015,Leicester Middle,Public School,70 Winslow Avenue,Leicester,MA,402,72758,1524
1510010,Leicester Primary School,Public School,170 Paxton Street,Leicester,MA,358,72758,1524
1520505,Lenox Memorial High,Public School,197 East Street,Lenox,MA,455,72217,1240
1520015,Morris,Public School,129 West Street,Lenox,MA,310,72217,1240
1530003,Bennett,Public School,145 Pleasant Street,Leominster,MA,105,68580,1453
1530605,Center For Technical Education Innovation,Public School,122 Granite Street,Leominster,MA,696,68580,1453
1530007,Fall Brook,Public School,25 DeCicco Dr,Leominster,MA,687,68580,1453
1530010,Frances Drake School,Public School,95 Viscoloid Ave,Leominster,MA,567,68580,1453
1530025,Johnny Appleseed,Public School,845 Main Street,Leominster,MA,630,68580,1453
1530515,Leominster Center for Excellence,Public School,98 Adams Street,Leominster,MA,39,68580,1453
1530505,Leominster High School,Public School,122 Granite Street,Leominster,MA,1086,68580,1453
1530005,Lincoln School,Public School,100 DeCicco Drive,Leominster,MA,49,68580,1453
1530030,Northwest,Public School,45 Stearns Avenue,Leominster,MA,692,68580,1453
1530040,Priest Street,Public School,115 Priest Street,Leominster,MA,130,68580,1453
1530045,Samoset School,Public School,100 DeCicco Dr,Leominster,MA,482,68580,1453
1530320,Sky View Middle School,Public School,500 Kennedy Way,Leominster,MA,884,68580,1453
1540005,Leverett Elementary,Public School,85 Montague Rd,Leverett,MA,136,62374,1054
1550008,Bowman,Public School,9 Philip Rd,Lexington,MA,567,80975,2421
1550006,Bridge,Public School,55 Middleby Rd,Lexington,MA,565,80975,2421
1550015,Fiske,Public School,55 Adams Street,Lexington,MA,479,80975,2420
1550030,Harrington,Public School,328 Lowell Street,Lexington,MA,465,80975,2420
1550305,Jonas Clarke Middle,Public School,17 Stedman Rd,Lexington,MA,891,80975,2421
1550010,Joseph Estabrook,Public School,117 Grove Street,Lexington,MA,535,80975,2420
1550001,Lexington Children's Place,Public School,328 Lowell Street,Lexington,MA,78,80975,2420
1550505,Lexington High,Public School,251 Waltham Street,Lexington,MA,2185,80975,2421
1550035,Maria Hastings,Public School,7 Crosby Road,Lexington,MA,455,80975,2421
1550310,Wm Diamond Middle,Public School,99 Hancock Street,Lexington,MA,852,80975,2420
1570305,Hanscom Middle,Public School,6 Ent Road,Hanscom Air Force Bs,MA,249,86451,1731
1570006,Hanscom Primary,Public School,6 Ent Road,Hanscom Air Force Bs,MA,322,86451,1731
1570025,Lincoln School,Public School,6 Ballfield Rd,Lincoln,MA,629,86451,1773
6950505,Lincoln-Sudbury Regional High,Public School,390 Lincoln Rd,Sudbury,MA,1568,91243,1776
1580505,Littleton High School,Public School,56 King Street,Littleton,MA,467,72469,1460
1580305,Littleton Middle School,Public School,55 Russell Street,Littleton,MA,351,72469,1460
1580015,Russell St Elementary,Public School,57 Russell Street,Littleton,MA,387,72469,1460
1580005,Shaker Lane Elementary,Public School,35 Shaker Lane,Littleton,MA,441,72469,1460
1590005,Blueberry Hill,Public School,275 Blueberry Hill Rd,Longmeadow,MA,426,69770,1106
1590010,Center,Public School,837 Longmeadow Street,Longmeadow,MA,404,69770,1106
1590017,Glenbrook Middle,Public School,110 Cambridge Circle,Longmeadow,MA,334,69770,1106
1590505,Longmeadow High,Public School,95 Grassy Gutter Rd,Longmeadow,MA,947,69770,1106
1590305,Williams Middle,Public School,410 Williams Street,Longmeadow,MA,344,69770,1106
1590025,Wolf Swamp Road,Public School,62 Wolf Swamp Rd,Longmeadow,MA,386,69770,1106
1600020,Abraham Lincoln,Public School,300 Chelmsford Street,Lowell,MA,502,76951,1851
1600310,B.F. Butler Middle School,Public School,1140 Gorham Street,Lowell,MA,545,76951,1852
1600090,Bartlett Community Partnership,Public School,79 Wannalancit Street,Lowell,MA,530,76951,1854
1600030,Charles W Morey,Public School,130 Pine Street,Lowell,MA,528,76951,1851
1600080,Charlotte M Murkland Elementary,Public School,350 Adams Street,Lowell,MA,504,76951,1854
1600345,Dr An Wang School,Public School,365 West Meadow Road,Lowell,MA,691,76951,1854
1600002,Dr Gertrude Bailey,Public School,175 Campbell Drive,Lowell,MA,505,76951,1851
1600015,Greenhalge,Public School,149 Ennell Street,Lowell,MA,501,76951,1850
1600330,Henry J Robinson Middle,Public School,110 June Street,Lowell,MA,618,76951,1850
1600315,James S Daley Middle School,Public School,150 Fleming Street,Lowell,MA,696,76951,1851
